BEGIN_DATETIME,END_DATETIME,EPISODE_ID,EVENT_ID,INJ_DIR,INJ_IND,DEAD_DIR,DEAD_IND,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,YEARMONTH,LOCATION_INDEX,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,FATALITY_DATE,FATALITY_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
2021-04-11 11:15:00.000,2021-04-11 11:15:00.000,156287,943564,0,0,0,1,28.47,-82.52,28.47,-82.52,202104,1,ESE,BERKELEY,28.47,-82.52,2021-04-11,42721,I,17,F,Other
2021-04-09 18:10:00.000,2021-04-09 18:10:00.000,156639,946768,0,0,1,0,,,,,,,,,,,2021-04-09,42847,D,48,M,Mobile/Trailer Home
2021-05-17 18:00:00.000,2021-05-17 21:00:00.000,158930,961426,0,0,1,0,30.1233,-92.1345,30.2727,-92.0199,202105,1,NW,MAURICE,30.1233,-92.1345,2021-05-17,43192,D,46,M,Vehicle/Towed Trailer
2021-05-10 01:30:00.000,2021-05-10 01:30:00.000,156930,948503,0,0,0,1,,,,,,,,,,,2021-05-10,42861,I,80,F,Permanent Home
2021-06-13 20:25:00.000,2021-06-13 20:25:00.000,158249,956726,0,0,1,0,44.606,-87.8849,44.606,-87.8849,202106,1,SSE,GREEN BAY ENTRANCE LIGHT,44.606,-87.8849,2021-06-13,43052,D,28,M,Boating
2021-06-28 21:00:00.000,2021-06-28 21:10:00.000,160072,967792,0,0,1,0,30.3177,-104.0197,30.3162,-104.0261,202106,1,S,MARFA,30.3177,-104.0197,2021-06-28,43324,D,,M,Vehicle/Towed Trailer
2021-01-29 15:30:00.000,2021-01-29 18:30:00.000,155647,938895,8,0,1,0,32.5484,-117.0232,32.5485,-117.019,202101,1,E,SAN YSIDRO,32.5484,-117.0232,2021-01-29,42483,D,,,Other
2021-01-13 00:00:00.000,2021-01-13 03:00:00.000,154844,938288,1,0,1,0,45.5994,-122.0391,45.5992,-122.0402,202101,1,NW,DODSON,45.5994,-122.0391,2021-01-13,42492,D,50,F,Vehicle/Towed Trailer
2021-02-18 07:59:00.000,2021-02-18 13:38:00.000,155272,936331,0,0,0,1,20.9611,-156.5692,20.6725,-156.0739,202102,1,SSW,KAHAKULOA,20.9611,-156.5692,2021-02-18,42429,I,26,F,In Water
2021-02-27 13:51:00.000,2021-02-27 16:54:00.000,155279,936389,0,0,0,2,20.9455,-156.5385,20.664,-156.0743,202102,1,NW,WAIHEE,20.9455,-156.5385,2021-02-27,42430,I,27,M,In Water
2021-05-06 15:56:00.000,2021-05-06 15:56:00.000,158420,957686,1,0,1,0,36.3778,-86.9815,36.3778,-86.9815,202105,1,SSW,COOPERTOWN,36.3778,-86.9815,2021-05-06,43232,D,49,M,Other
2021-05-03 15:31:00.000,2021-05-03 15:51:00.000,159172,962770,0,0,1,0,32.4836,-83.7158,32.6029,-83.6008,202105,1,NNE,PERRY,32.4836,-83.7158,2021-05-03,43210,D,55,F,Permanent Home
2021-05-04 14:31:00.000,2021-05-04 14:31:00.000,158599,959086,0,0,1,0,37.5019,-79.1257,37.5019,-79.1257,202105,1,ENE,MONROE,37.5019,-79.1257,2021-05-04,43227,D,34,M,Under Tree
2021-05-17 09:45:00.000,2021-05-17 14:45:00.000,158930,960716,0,0,1,0,30.2248,-93.2212,30.3187,-93.2002,202105,1,SE,LAKE CHARLES LAKE,30.2248,-93.2212,2021-05-17,43188,D,61,M,Vehicle/Towed Trailer
2021-03-27 18:38:00.000,2021-03-27 19:05:00.000,155842,941492,3,0,1,0,32.0982,-94.3089,32.2012,-94.0669,202103,1,SE,CARTHAGE,32.0982,-94.3089,2021-03-27,42901,D,46,F,Mobile/Trailer Home
2021-06-18 23:00:00.000,2021-06-19 07:00:00.000,158305,957371,1,0,1,0,39.2007,-86.5303,39.1972,-86.4802,202106,1,E,ARLINGTON,39.2007,-86.5303,2021-06-18,43164,D,31,M,Vehicle/Towed Trailer
2021-03-27 21:42:00.000,2021-03-27 21:42:00.000,155898,940484,0,0,1,0,39.9619,-86.0696,39.9619,-86.0696,202103,1,NNW,INDIANAPOLIS METRO A,39.9619,-86.0696,2021-03-27,42895,D,40,M,Outside/Open Areas
2021-09-01 21:15:00.000,2021-09-01 23:45:00.000,163518,987245,0,0,3,0,40.8825,-74.1289,40.8506,-74.1345,202109,1,NE,CLIFTON,40.8825,-74.1289,2021-09-01,44640,D,70,M,Vehicle/Towed Trailer
2021-07-28 05:10:00.000,2021-07-28 05:10:00.000,159980,968238,0,0,0,1,41.5386,-88.0385,41.5386,-88.0385,202107,1,SE,FOREST PARK,41.5386,-88.0385,2021-07-28,43338,I,85,M,Permanent Home
2021-07-07 14:30:00.000,2021-07-07 14:30:00.000,159556,965726,0,0,1,0,30.2646,-81.7064,30.2646,-81.7064,202107,1,NNW,VENETIA,30.2646,-81.7064,2021-07-07,43320,D,25,M,Vehicle/Towed Trailer
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987588,0,0,3,0,40.7453,-73.8139,40.7458,-73.8138,202109,1,WSW,AUBURNDALE,40.7453,-73.8139,2021-09-01,44667,D,,F,Permanent Home
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987589,0,0,1,0,40.895,-73.8221,40.8936,-73.8249,202109,1,NW,PELHAM MANOR,40.895,-73.8221,2021-09-01,44670,D,33,M,Vehicle/Towed Trailer
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987560,0,0,2,0,40.7115,-73.7784,40.7116,-73.7779,202109,1,SW,HOLLIS,40.7115,-73.7784,2021-09-01,44659,D,43,F,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987561,0,0,1,0,40.7424,-73.848,40.742,-73.8508,202109,1,WSW,FLUSHING,40.7424,-73.848,2021-09-01,44661,D,48,F,Permanent Home
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987590,0,0,1,0,41.0659,-73.8635,41.0632,-73.8632,202109,1,SE,TARRYTOWN,41.0659,-73.8635,2021-09-01,44671,D,69,M,Vehicle/Towed Trailer
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987591,0,0,1,0,41.0204,-73.6952,41.024,-73.6964,202109,1,SW,COUNTRY RIDGE ESTATE,41.0204,-73.6952,2021-09-01,44672,D,,,Vehicle/Towed Trailer
2021-09-01 21:00:00.000,2021-09-01 22:30:00.000,163555,987564,0,0,3,0,40.7384,-73.902,40.7386,-73.9016,202109,1,SE,WOODSIDE,40.7384,-73.902,2021-09-01,44662,D,2,M,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987565,0,0,1,0,40.7315,-73.8813,40.7317,-73.8809,202109,1,SSW,CORONA,40.7315,-73.8813,2021-09-01,44665,D,86,F,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987566,0,0,1,0,40.686,-73.8714,40.6856,-73.8713,202109,1,NE,BROOKLYN,40.686,-73.8714,2021-09-01,44666,D,66,M,Permanent Home
2021-07-16 14:15:00.000,2021-07-17 06:00:00.000,160198,968181,0,0,1,0,38.32,-88.9185,38.2581,-89.0427,202107,1,W,MT VERNON,38.32,-88.9185,2021-07-17,43340,D,25,F,Vehicle/Towed Trailer
2021-07-30 00:00:00.000,2021-07-30 04:00:00.000,161577,975739,0,0,1,0,38.3204,-84.0658,38.326,-84.0061,202107,1,E,MILLER,38.3204,-84.0658,2021-07-30,44248,D,66,F,Mobile/Trailer Home
2021-07-25 15:30:00.000,2021-07-25 15:30:00.000,161333,974349,10,0,8,0,,,,,,,,,,,2021-07-25,44196,D,30,F,Vehicle/Towed Trailer
2021-07-17 16:00:00.000,2021-07-17 16:05:00.000,161392,975361,0,0,0,1,34.4904,-114.4033,34.4904,-114.4033,202107,1,SE,HAVASU LAKE,34.4904,-114.4033,2021-07-17,44207,I,58,M,In Water
2021-07-21 12:45:00.000,2021-07-21 12:45:00.000,161245,974534,0,0,1,0,,,,,,,,,,,2021-07-21,44174,D,9,M,Vehicle/Towed Trailer
2021-08-21 09:00:00.000,2021-08-21 09:00:00.000,162118,982536,0,0,19,0,36.0852,-87.8281,36.079,-87.8364,202108,1,SE,PIGEON ROOST,36.0852,-87.8281,2021-08-21,44442,D,61,F,Unknown
2021-08-21 09:00:00.000,2021-08-21 09:00:00.000,162118,982537,0,0,1,0,35.978,-87.7633,35.9815,-87.7641,202108,1,ENE,HURRICANE MILLS,35.978,-87.7633,2021-08-21,44459,D,70,M,Outside/Open Areas
2021-08-18 21:00:00.000,2021-08-18 22:50:00.000,162459,982337,1,0,1,0,42.0785,-77.2973,42.0733,-77.2785,202108,1,NNW,FREEMAN,42.0785,-77.2973,2021-08-18,44467,D,31,F,In Water
2021-08-01 23:15:00.000,2021-08-02 00:15:00.000,162616,981898,1,0,1,0,39.4312,-111.1002,39.4005,-111.1236,202108,1,WSW,MOHRLAND,39.4312,-111.1002,2021-08-01,44472,D,48,M,Outside/Open Areas
2021-08-11 09:08:00.000,2021-08-11 09:08:00.000,161067,978377,2,0,1,0,42.2453,-89.1086,42.2453,-89.1086,202108,1,SW,ROCKFORD,42.2453,-89.1086,2021-08-11,44281,D,55,F,Mobile/Trailer Home
2021-08-16 16:00:00.000,2021-08-16 16:00:00.000,162302,980629,0,0,0,1,30.17,-85.66,30.17,-85.66,202108,1,N,PANAMA CITY,30.17,-85.66,2021-08-16,44364,I,50,M,Vehicle/Towed Trailer
2021-08-11 15:01:00.000,2021-08-11 15:01:00.000,159916,966612,0,0,0,1,39.3557,-77.3534,39.3557,-77.3534,202108,1,SW,IJAMSVILLE,39.3557,-77.3534,2021-08-11,43313,I,,M,Permanent Home
2021-08-17 14:30:00.000,2021-08-17 22:00:00.000,162681,982265,0,0,6,0,35.395,-82.946,35.527,-82.858,202108,1,SSE,BURNETT SIDING,35.395,-82.946,2021-08-17,44430,D,68,M,Outside/Open Areas
2021-08-25 09:20:00.000,2021-08-25 09:20:00.000,162490,980904,0,0,1,0,26.1616,-80.099,26.1616,-80.099,202108,1,NNE,PORT EVERGLADES,26.1616,-80.099,2021-08-25,44365,D,62,M,Outside/Open Areas
2021-09-01 16:00:00.000,2021-09-01 21:45:00.000,162539,981440,0,0,1,0,40.3511,-75.0034,40.1826,-75.0587,202109,1,WNW,AQUETONG,40.3511,-75.0034,2021-09-01,44581,D,65,M,Vehicle/Towed Trailer
2021-09-01 14:15:00.000,2021-09-01 21:00:00.000,162539,981414,0,0,1,0,39.7341,-76.0393,40.0833,-75.8898,202109,4,ESE,FAIRVILLE,39.8384,-75.6031,2021-09-01,44585,D,51,M,Unknown
2021-09-17 01:30:00.000,2021-09-17 01:30:00.000,161324,977865,1,0,1,0,44.16,-94.04,44.16,-94.04,202109,1,SW,MANKATO,44.16,-94.04,2021-09-17,44278,D,4,F,Camping
2021-10-06 15:40:00.000,2021-10-06 15:40:00.000,163999,990176,1,0,1,0,35.7623,-85.2744,35.7609,-85.2755,202110,1,ESE,LONEWOOD,35.7623,-85.2744,2021-10-06,45205,D,67,M,Vehicle/Towed Trailer
2021-09-01 21:00:00.000,2021-09-01 21:30:00.000,163518,987260,0,0,4,0,40.6715,-74.2195,40.6735,-74.2191,202109,1,NNE,ELIZABETH,40.6715,-74.2195,2021-09-01,44648,D,72,F,Permanent Home
2021-09-01 21:00:00.000,2021-09-01 21:30:00.000,163518,987277,0,0,1,0,40.677,-74.2683,40.6774,-74.2669,202109,1,ESE,KENILWORTH,40.677,-74.2683,2021-09-01,44652,D,83,M,Vehicle/Towed Trailer
2021-10-06 20:00:00.000,2021-10-07 02:00:00.000,162046,989399,0,0,1,0,34.3505,-86.4989,34.35,-86.5007,202110,1,E,NORTH ARAB,34.3505,-86.4989,2021-10-06,44788,D,4,F,Vehicle/Towed Trailer
2021-10-06 20:00:00.000,2021-10-07 02:00:00.000,162046,989400,0,0,1,0,34.3551,-86.4723,34.3616,-86.4757,202110,1,WNW,GRASSY,34.3551,-86.4723,2021-10-06,44789,D,18,F,Vehicle/Towed Trailer
2021-10-14 05:30:00.000,2021-10-14 05:30:00.000,162340,980123,0,0,2,0,29.4458,-98.2402,29.4418,-98.2283,202110,1,SSE,SCHEMERSVILLE,29.4458,-98.2402,2021-10-14,44331,D,5,F,Vehicle/Towed Trailer
2021-09-01 16:35:00.000,2021-09-01 16:49:00.000,160990,972354,2,0,1,0,40.107,-75.238,40.21,-75.158,202109,1,SW,FLOURTOWN,40.107,-75.238,2021-09-01,44550,D,68,F,Permanent Home
2021-09-01 02:45:00.000,2021-09-01 04:45:00.000,163204,986683,3,1,1,0,39.0723,-77.1123,39.0729,-77.1122,202109,1,ENE,AUTREY PARK,39.0723,-77.1123,2021-09-01,44615,D,19,M,Permanent Home
2021-09-19 14:30:00.000,2021-09-19 20:27:00.000,161401,987206,0,0,1,0,34.94,-86.57,34.9369,-86.5699,202109,1,NE,HAZEL GREEN,34.94,-86.57,2021-09-19,44639,D,35,M,Other
2021-10-06 18:45:00.000,2021-10-07 00:30:00.000,163576,990000,0,0,2,0,33.337,-86.883,33.4799,-86.9684,202110,1,N,ELVIRA,33.337,-86.883,2021-10-06,44796,D,23,M,Vehicle/Towed Trailer
2021-09-01 16:45:00.000,2021-09-01 21:45:00.000,162538,986283,0,0,6,0,40.6175,-75.1205,40.7491,-74.8801,202109,1,S,RIEGEL RIDGE,40.6175,-75.1205,2021-09-01,44588,D,77,M,Unknown
2021-09-01 18:00:00.000,2021-09-02 00:00:00.000,162538,985744,0,0,3,0,40.5673,-74.5002,40.5956,-74.2523,202109,1,W,MIDDLESEX,40.5673,-74.5002,2021-09-01,44598,D,56,F,Outside/Open Areas
2021-09-01 18:00:00.000,2021-09-01 23:00:00.000,162538,986281,0,0,3,0,40.5788,-74.6996,40.7192,-74.6784,202109,1,WNW,BRANCHBURG PARK,40.5788,-74.6996,2021-09-01,44601,D,,,Vehicle/Towed Trailer
2021-09-01 18:30:00.000,2021-09-02 00:30:00.000,162538,985743,0,0,2,0,40.3319,-74.9101,40.1852,-74.7327,202109,1,WNW,TITUSVILLE,40.3319,-74.9101,2021-09-01,44604,D,78,F,Vehicle/Towed Trailer
2021-09-01 18:45:00.000,2021-09-01 22:45:00.000,162538,986282,0,0,2,0,40.5774,-74.7004,40.5196,-74.7354,202109,1,WNW,BRANCHBURG PARK,40.5774,-74.7004,2021-09-01,44606,D,61,F,Vehicle/Towed Trailer
2021-09-01 14:30:00.000,2021-09-01 21:00:00.000,162539,981418,0,0,2,0,40.0787,-75.3776,40.1669,-75.2877,202109,1,SE,KING OF PRUSSIA,40.0787,-75.3776,2021-09-01,44608,D,70,M,Unknown
2021-06-29 20:00:00.000,2021-06-29 20:20:00.000,160227,969741,0,0,1,0,32.3933,-104.2431,32.3904,-104.2427,202106,1,SSW,CARLSBAD,32.3933,-104.2431,2021-06-29,43367,D,,M,Vehicle/Towed Trailer
2021-06-06 01:18:00.000,2021-06-06 02:00:00.000,160374,970236,0,0,1,0,32.9658,-96.6554,32.9641,-96.66,202106,1,NNW,GARLAND,32.9658,-96.6554,2021-06-06,43737,D,49,F,Vehicle/Towed Trailer
